Details of Revenue and Expenditure,"Actual
2023","Budget
2024","Revised
2024","Budget
2025"
Total Revenue,"1,395.877","1 ,437.500","1 ,440.500","1 ,474.208"
Recurrent Revenue,"1,359.432","1 ,437.500","1 ,440.500","1 ,474.208"
"Subsidies and Contributions from Central Government
Contribution
Revenue from Operations
Sale of Goods and Services
Fees, Fines, etc.
Rents, Royalties, etc.
Other Recurrent Revenue
Interest Received
Miscellaneous Receipts","-
-
1,339.625
-
716.547
623.078
19.807
-
19.807","-
-
1 ,415.500
-
760.000
655.500
22.000
-
22.000","-
-
1 ,419.500
-
762.000
657.500
21.000
-
21.000","-
-
1 ,450.888
-
779.000
671.888
23.320
-
23.320"
Capital Revenue,36.445,-,-,-
"Capital Grants from Central Government
Sale of Assets, etc.
Miscellaneous Capital Revenue","36.445
-
-","-
-
-","-
-
-","-
-
-"
External Grants,-,-,-,-
External Grants,-,,-,
Total Expenditure,"1,345.225","1 ,406.465","1 ,402.142","1 ,432.602"
Recurrent Expenditure,"1,293.923","1 ,361.465","1 ,358.142","1 ,397.602"
"Employment Cost
Wages and Salaries
Overhead Expenditure
Other Recurrent Charges
Materials, Equipment and Supplies
Fuel and Lubricants
Rental and Maintenance of Buildings
Maintenance of Infrastructure
Transport, Travel and Postage
Utility Charges
Other Goods and Services Purchased
Other Operating Expenses
Education Subventions and Training
Rates and Taxes and Subventions to Local Authority
Subsidies and Contributions to Local and International Organisation
Pensions
Internal Interest
External Interest
Transfer to Central Government","871.245
811.532
59.713
422.678
31.423
44.075
45.846
-
198.239
40.435
37.249
20.549
1.619
2.236
1.007
-
-
-
-","890.809
827.343
63.466
470.656
35.500
46.960
54.026
-
215.520
45.250
40.100
26.700
2.850
2.600
1.150
-
-
-
-","889.599
826.343
63.256
468.543
35.110
46.712
53.980
-
214.800
45.100
39.928
26.500
2.725
2.558
1.130
-
-
-
-","917.533
852.163
65.370
480.069
36.210
47.899
55.107
-
219.830
46.155
40.902
27.234
2.907
2.652
1.173
-
-
-
-"
Capital Expenditure,51.302,45.000,44.000,35.000
Capital Expenditure,51.302,45.000,44.000,35.000
Surplus (Deficit),50.652,31.035,38.358,41.606
Total Financing,(50.652),( 31.035),( 38.358),( 41.606)
"External Loans (Net)
External Loans - Disbursements
External Loans - Principal Repayments
Internal Loans (Net)
Internal Loans - Disbursements
Internal Loans - Principal Repayments
Net Decrease/(Increase) in Cash and Bank Balances","-
-
-
-
-
-
(50.652)","-
-
-
-
-
-
( 31.035)","-
-
-
-
-
-
( 38.358)","-
-
-
-
-
-
( 41.606)"
