Details of Revenue and Expenditure,"Actual
2022","Budget
2023","Revised
2023","Budget
2024"
Total Revenue,"1,384.877","1 ,404.000","1 ,395.877","1 ,437.500"
Recurrent Revenue,"1,384.877","1 ,404.000","1 ,395.877","1 ,437.500"
"Subsidies and Contributions from Central Government
Contribution
Revenue from Operations
Sale of Goods and Services
Fees, Fines, etc.
Rents, Royalties, etc.
Other Recurrent Revenue
Interest Received
Miscellaneous Receipts","-
-
1,364.377
-
733.736
630.641
20.500
-
20.500","-
-
1 ,382.500
-
740.000
642.500
21.500
-
21.500","-
-
1 ,339.625
-
716.547
623.078
56.252
-
56.252","-
-
1 ,415.500
-
760.000
655.500
22.000
-
22.000"
Capital Revenue,-,-,-,-
"Capital Grants from Central Government
Sale of Assets, etc.
Miscellaneous Capital Revenue","-
-
-","-
-
-","-
-
-","-
-
-"
External Grants,-,-,-,-
External Grants,-,-,-,
Total Expenditure,"1,348.904","1 ,334.341","1 ,345.225","1 ,406.465"
Recurrent Expenditure,"1,318.904","1 ,281.721","1 ,293.923","1 ,361.465"
"Employment Cost
Wages and Salaries
Overhead Expenditure
Other Recurrent Charges
Materials, Equipment and Supplies
Fuel and Lubricants
Rental and Maintenance of Buildings
Maintenance of Infrastructure
Transport, Travel and Postage
Utility Charges
Other Goods and Services Purchased
Other Operating Expenses
Education Subventions and Training
Rates and Taxes and Subventions to Local Authority
Subsidies and Contributions to Local and International Organisation
Pensions
Internal Interest
External Interest
Transfer to Central Government","855.000
794.500
60.500
463.904
40.100
47.500
52.080
-
219.574
36.400
40.000
22.400
2.500
2.300
1.050
-
-
-
-","843.458
782.458
61.000
438.263
33.350
44.502
47.626
-
205.848
42.407
37.980
21.500
1.700
2.300
1.050
-
-
-
-","871.245
811.532
59.713
422.678
31.423
44.075
45.846
-
198.239
40.435
37.249
20.549
1.619
2.236
1.007
-
-
-
-","890.809
827.343
63.466
470.656
35.500
46.960
54.026
-
215.520
45.250
40.100
26.700
2.850
2.600
1.150
-
-
-
-"
Capital Expenditure,30.000,52.620,51.302,45.000
Capital Expenditure,30.000,52.620,51.302,45.000
Surplus (Deficit),35.973,69.659,50.652,31.035
Total Financing,(35.973),( 69.659),( 50.652),( 31.035)
"External Loans (Net)
External Loans - Disbursements
External Loans - Principal Repayments
Internal Loans (Net)
Internal Loans - Disbursements
Internal Loans - Principal Repayments
Net Decrease/(Increase) in Cash and Bank Balances","-
-
-
-
-
-
(35.973)","-
-
-
-
-
-
( 69.659)","-
-
-
-
-
-
( 50.652)","-
-
-
-
-
-
( 31.035)"
